mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.12200593948364258,0.008432017234654922,0.021362161636352538,0.008225306560413174,0.05,3,100,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.6394557823129252,0.5674740484429066,0.5566343042071198,0.546031746031746,0.5956112852664577,0.581041433252231,0.033555854457802986,15,0.6560402684563759,0.646053702196908,0.6628194558944766,0.6451612903225806,0.6644844517184942,0.6549118337177671,0.008111454362554012
0.10831227302551269,0.0031026675293689856,0.017830848693847656,0.0013741912804945626,0.05,3,100,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.6598639455782312,0.5486111111111112,0.5612903225806452,0.5443037974683544,0.58125,0.5790638353476684,0.04239095076083312,16,0.652542372881356,0.6318367346938776,0.6551155115511551,0.6510851419031719,0.6562756357670222,0.6493710793593166,0.008956782416106862
0.19225554466247557,0.015989292274717053,0.01824817657470703,0.0013938288190267637,0.05,3,200,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.6266666666666667,0.6093189964157706,0.5852090032154341,0.5602605863192183,0.5993690851735016,0.5961648675581183,0.0224624408298209,13,0.7058823529411765,0.7034596375617792,0.7180327868852459,0.7136929460580913,0.7104183757178015,0.7102972198328189,0.0052464886152972555
0.1861030101776123,0.017291619939455813,0.019970273971557616,0.002772475280044437,0.05,3,200,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.6326530612244898,0.6232876712328768,0.567741935483871,0.5833333333333334,0.5987261146496815,0.6011484231848505,0.02417406439849783,12,0.6957250628667225,0.6895424836601307,0.7080231596360629,0.6980656013456686,0.6985172981878089,0.6979747211392787,0.005957136166602003
0.23200926780700684,0.074876727210131,0.03043060302734375,0.010722877454625001,0.05,5,100,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.7075812274368231,0.6691176470588235,0.6506849315068494,0.6903914590747331,0.6804123711340206,0.67963752724225,0.01921467404027286,7,0.8262411347517731,0.8296557811120918,0.8281938325991189,0.8333333333333334,0.8322981366459627,0.829944443688456,0.00260334038930727
0.1773512363433838,0.023243160179259478,0.017943906784057616,0.0005217877707125841,0.05,5,100,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.6861313868613139,0.6758620689655173,0.6375838926174496,0.6944444444444444,0.6735395189003437,0.6735122623578139,0.019461596215910607,8,0.8147497805092186,0.8171478565179353,0.8129370629370629,0.8148788927335641,0.8129938542581212,0.8145414893911805,0.0015440035334470643
0.3047309398651123,0.01709731111102348,0.02156071662902832,0.0020803017737221047,0.05,5,200,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7368421052631579,0.7300380228136882,0.7032967032967034,0.7443609022556391,0.7117437722419929,0.7252563011742363,0.015407101465176867,4,0.9237832874196511,0.9141274238227147,0.9186691312384473,0.922509225092251,0.9174311926605505,0.9193040520467228,0.0034941348073771954
0.2902801036834717,0.014242621537560316,0.020500040054321288,0.0006356663485866759,0.05,5,200,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.7452471482889734,0.7111111111111111,0.6783216783216783,0.7509025270758123,0.7106227106227107,0.7192410350840571,0.0264330586097964,5,0.9097605893186004,0.8808664259927798,0.8968692449355433,0.903107861060329,0.9080882352941176,0.899738471320274,0.010448930564430935
0.10994443893432618,0.00206330825666777,0.01695075035095215,0.0005229976514516493,0.1,3,100,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.6348122866894198,0.5936395759717314,0.5916398713826366,0.5856697819314641,0.6012658227848101,0.6014054677520124,0.017431711379375183,11,0.7144046627810158,0.703150912106136,0.7159468438538206,0.7057864710676447,0.7120331950207469,0.7102644169658728,0.0049641542564880445
0.12119202613830567,0.016854029885788043,0.01675276756286621,0.0005692592235692167,0.1,3,100,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.6190476190476191,0.6062717770034843,0.5623003194888179,0.5863192182410424,0.6052631578947368,0.59584041833514,0.01975736273513156,14,0.7016060862214708,0.6926263463131731,0.7152428810720268,0.6941176470588235,0.706766917293233,0.7020719755917454,0.008345340454817735
0.22789425849914552,0.03774754394322692,0.025753307342529296,0.0065585716171942705,0.1,3,200,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.6529209621993127,0.7028985507246377,0.6163934426229508,0.6486486486486487,0.618421052631579,0.6478565313654258,0.03134413235713845,9,0.7890691716481639,0.7873612297181896,0.7924528301886793,0.7881856540084389,0.7791986359761296,0.7872535043079203,0.004383857871223403
0.3503366470336914,0.04529477976477277,0.03128008842468262,0.007527236528606642,0.1,3,200,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.6688963210702341,0.6762589928057554,0.6193548387096774,0.6220735785953178,0.6133333333333333,0.6399834129028636,0.026864105923018237,10,0.7599660729431722,0.7735849056603774,0.7799490229396772,0.7798634812286689,0.7733105218135158,0.7733348009170823,0.0072822747692321025
0.32337045669555664,0.05206440726210935,0.038517427444458005,0.003397901464804057,0.1,5,100,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.7094339622641509,0.754863813229572,0.7168458781362007,0.7148014440433214,0.697508896797153,0.7186907988940796,0.019294454025500066,6,0.9122486288848263,0.9136029411764706,0.9227906976744186,0.9174311926605505,0.9206642066420664,0.9173475334076665,0.0040163703952747635
0.2940815925598145,0.04444208646916015,0.028965187072753907,0.00897548475887734,0.1,5,100,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.7452471482889734,0.7424242424242424,0.6901408450704225,0.7573529411764706,0.7122302158273381,0.7294790785574894,0.024650279459926854,3,0.8987341772151899,0.8983364140480592,0.9007352941176471,0.8986301369863013,0.8955495004541326,0.898397104564266,0.00165816675735988
0.466389799118042,0.08148790368483096,0.03513126373291016,0.012568763980226738,0.1,5,200,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7419354838709677,0.7918367346938775,0.7384615384615385,0.7441860465116279,0.714828897338403,0.7462497401752829,0.025095701459608502,2,0.9788867562380038,0.9836065573770492,0.9817131857555341,0.9835748792270531,0.9807321772639692,0.9817027111723219,0.0017889265816503851
0.2621753692626953,0.017267857904227468,0.02025260925292969,0.00377970657102567,0.1,5,200,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.7747035573122529,0.8031496062992126,0.7565543071161048,0.7808764940239044,0.7557251908396947,0.7742018311182339,0.017524827425083787,1,0.9705042816365367,0.9759384023099134,0.9759846301633045,0.9740634005763689,0.9807321772639692,0.9754445783900186,0.0033108429137872295
